burnham park|-74.4966539 40.798698
union county magnet high school|-74.3569565 40.6180728
union county vocational technical high school|-74.3583339 40.6167064
ucvts district administration building|-74.3563875 40.6191171
memorial park|-74.3650536 40.537489
thomas park|-74.3633236 40.5354809
hudson county motors|-74.0742094 40.764785
equinix ny data center|-74.0723011 40.7786018
arrowpac|-74.0767937 40.7673723
command web offset inc|-74.0777788 40.7650575
rent the runway fulfillment center|-74.0720905 40.7723278
equinix ny data center|-74.0697759 40.7764281
whiplash|-74.0795172 40.7693907
equinix ny data center|-74.0759169 40.7774195
prologis|-74.0769768 40.7642828
twin med|-74.0778005 40.7679172
cj korea express|-74.0808541 40.7720431
the designer outlet gallery|-74.0755775 40.7816188
eileen fisher boutique|-74.071684 40.7805262
repechage|-74.0814332 40.769531
gucci|-74.0726465 40.7825744
psykaty disposal|-74.0821219 40.7712916
new jersey casket|-74.0826696 40.7717693
inifinite vision|-74.0707945 40.7821479
mlb network|-74.0714209 40.7848093
prg|-74.0733181 40.7809743
central transport|-74.084975 40.7713793
att secaucus enterprise data center|-74.0691822 40.7861644
towers of bay ridge west|-74.0243389 40.6394106
truck parking|-74.0657912 40.7690271
toomer memorial field|-74.246355 40.4202763
our saviors lutheran church|-74.3529354 40.5634152
forum|-74.3599588 40.5383016
metuchen municipal building|-74.3625053 40.5441626
garden state tennis center|-74.3557456 40.6005764
saint francis cathedral school|-74.3633277 40.5452619
metuchen library|-74.3614038 40.5449964
chase|-74.3627428 40.5432509
saint francis cyo hall|-74.3627081 40.5445059
metuchen post office|-74.360193 40.5398065
united states post office   brainy boro|-74.3702194 40.5440624
stop  shop|-74.3629944 40.5242908
the home depot|-74.3654725 40.5237017
mcdonalds|-74.3616667 40.5236312
office depot|-74.3610848 40.5247798
mercedes benz|-74.3592037 40.5229717
petco|-74.3640548 40.5219828
edgar park|-74.3629541 40.5311332
metuchen senior citizens|-74.3581324 40.5349936
sabzi mandi|-74.3310637 40.5739611
edison imaging associates|-74.3485922 40.5585627
lot|-74.1815648 40.7441465
lot|-74.1795952 40.7468965
james j walker park|-74.00625 40.7298206
pier|-74.0123954 40.7331734
south plainfield high school|-74.4123955 40.5891442
target|-74.4261438 40.4419406
staples   milltown|-74.4255493 40.4425535
shoprite   spotswood|-74.3854009 40.4073596
romeo plaza|-74.3865198 40.4032923
warnsdorfer elementary school|-74.4328391 40.4212936
tennis courts|-74.443325 40.4115028
tennis courts   bicentennial park|-74.4611137 40.4368932
community nursery school of metuchen|-74.3595594 40.5405737
first presbyterian church of metuchen|-74.3593532 40.540663
little genius academy of metuchen|-74.3633714 40.5383566
saint lukes episcopal church|-74.3596822 40.5463212
petits enfants|-74.3596601 40.5465907
old franklin schoolhouse|-74.3615176 40.5441239
metuchen volunteer fire department|-74.3619084 40.543847
cvs|-74.3871734 40.5776625
ymca|-74.3630446 40.5337761
reformed church of metuchen|-74.3634971 40.534679
mcdonalds|-74.3889363 40.5775883
hill top parking|-74.1879513 40.3774172
forest edge parking|-74.1850377 40.3717696
pond view parking|-74.1846462 40.3691959
first baptist church|-74.483449 40.7983975
morris county administrative building|-74.483959 40.7969977
lot|-74.1796353 40.7456476
lot b|-74.1791416 40.7453379
lot c|-74.1789945 40.745541
lot|-74.184457 40.7449675
university centre|-74.180773 40.7446536
holmdel park ramanessin|-74.1769592 40.3601578
holmdel park|-74.1855841 40.375906
ramenessin parking|-74.1837216 40.3654263
david shaw arboretum|-74.1850405 40.3666528
dyker beach golf course|-74.0194485 40.612114
activity center parking|-74.1805897 40.3773051
stop  shop|-74.4920312 40.4746601
subaru|-74.491301 40.4734777
the presbyterian church of morristown|-74.4797905 40.7975057
howard house|-74.4795088 40.7973467
church of the redeemer|-74.4794729 40.7956104
church of the redeemer parish house|-74.4798176 40.7958498
buffalo wild wings|-74.4992856 40.4465159
chase|-74.466269 40.4457668
chipotle|-74.3903126 40.4352292
boston market|-74.4000138 40.4559303
lot a|-74.176982 40.740858
aidekman research center|-74.1751146 40.7407689
lot b|-74.1765144 40.7407981
graduate housing|-74.174261 40.7423109
boyden hall|-74.17457 40.7410479
blumenthal lot|-74.1755786 40.7392003
bradley hall|-74.1775135 40.7400042
hill hall|-74.1764345 40.7412947
conklin hall|-74.1742138 40.7416908
olson hall|-74.1753859 40.7403358
university square|-74.1737839 40.7424896
center for law and justice|-74.1731875 40.7405319
robeson campus center|-74.1760349 40.7420786
deck|-74.1741459 40.7402513
woodward hall|-74.1746006 40.7428518
deck|-74.172754 40.7389223
blumenthal student services building|-74.175829 40.7391136
smith hall|-74.1758137 40.7407537
talbott apartments|-74.1754464 40.7429812
center for urban and public service|-74.1728105 40.7410658
life sciences center|-74.1748503 40.7403974
engelhard hall|-74.1737966 40.7408746
ackerson hall|-74.1734626 40.741429
stonsby commons|-74.1744122 40.742625
washington street|-74.1735968 40.7397931
dana library|-74.1749544 40.7418102
irish hunger memorial|-74.0165527 40.7151545
view point terrace|-74.4856528 40.79589
deltas restaurant|-74.4407752 40.4946662
united methodist church|-74.4432623 40.4935327
johnson and johnson child development center school|-74.4432665 40.4998752
first reformed church|-74.4423598 40.495037
poile zedek synagogue|-74.4414995 40.4943683
bravo|-74.4423308 40.4912772
hiram square|-74.4401364 40.4947897
the frog and the peach|-74.440822 40.495007
johnson hall|-74.4452859 40.5005571
shoprite|-74.3838504 40.5120446
lexus of edison|-74.3885036 40.5103214
albany plaza deck|-74.4450685 40.496059
river ridge terrace condos|-74.4351504 40.4964725
zone billiards|-74.40333 40.5142788
new brunswick adult learning center school|-74.4531413 40.4893143
bridge turkish and mediterranean grill|-74.4273141 40.4995893
inman grove shopping center|-74.3631244 40.5955435
minnie b veal community center|-74.3607116 40.5946507
wells fargo|-74.361855 40.5965834
edison township skate park|-74.3945523 40.5285981
edison municipal complex|-74.3933799 40.5274499
plaza diner|-74.3884341 40.5247371
crowne plaza edison|-74.3904581 40.5249268
advance auto parts|-74.2953169 40.5358533
mcdonalds|-74.2957581 40.5363443
pizza hut|-74.2961881 40.5355912
motel|-74.4029768 40.4651541
studio  east brunswick|-74.4039687 40.4646524
gator liquidators|-74.4038548 40.4613799
comfort suites|-74.4012952 40.4608738
wawa|-74.4005444 40.4618456
aaa insurance|-74.4026252 40.4614337
coldwell banker|-74.4037367 40.4604709
leslies pool supplies|-74.4023068 40.4605498
best tile|-74.4022022 40.4602712
mavis discount tire|-74.4025994 40.4610203
wawa|-74.4006856 40.461562
walmart supercenter|-74.3988623 40.4588721
dunkin|-74.4030268 40.4617974
hunter douglass|-74.4037501 40.4611201
sears|-74.4235518 40.480397
houlihans|-74.4230523 40.4791712
wells fargo|-74.3995658 40.4553277
haileys harp  pub|-74.3608422 40.5414551
new street parking lot lot  pearl st|-74.3627 40.5422444
chase|-74.3614999 40.5408493
friendlys|-74.3636123 40.5432249
cais cafe|-74.3613326 40.5418916
station place parking lot lot  station pl|-74.3602112 40.5417846
metuchen savings bank|-74.3617246 40.5426532
penn avenue parking lot lot  pennsylvania ave|-74.3588555 40.5415225
memorial parkway|-74.3649826 40.5377628
center street east ap parking lot lot  center st  new st|-74.3639079 40.5412956
penn plaza north parking lot lot  pennsylvania ave|-74.3604661 40.5410647
center street   senior center parking lot lot  center st  new st|-74.3644587 40.5410393
woodstack|-74.364507 40.5383933
hay  co|-74.3600428 40.5387936
lowes|-74.2934886 40.5504479
wells fargo|-74.2947605 40.5487217
the club at woodbridge|-74.3013468 40.543332
plymouth rock assurance|-74.3000469 40.5435783
wegmans|-74.2966342 40.5481822
jiffy lube|-74.2969317 40.5365512
kidz village|-74.2970188 40.5374331
good shepherd parish at most holy rosary|-74.2902926 40.5359854
most holy rosary church rectory|-74.2904139 40.5355597
gill  chamas|-74.2891588 40.5367906
raritan plaza iii|-74.3443301 40.5188481
new jersey convention and exposition center|-74.3469289 40.500316
united states post office|-74.3025897 40.5160954
home depot bulk distribution center|-74.3287869 40.516292
crabiel hall|-74.3692608 40.5039028
billy johnson hall|-74.3695475 40.5051238
blue colt bookstore|-74.3679198 40.50433
mill gate|-74.3699755 40.5019312
chambers hall|-74.3680901 40.5052896
college center|-74.366493 40.5048863
physical education center|-74.3653277 40.5040522
wakefern food|-74.3279034 40.5097028
middlesex county prosecutors office training center|-74.3655421 40.4998563
west hall|-74.3704411 40.5038091
edison hall|-74.3694217 40.506127
lhommedieu hall|-74.364448 40.5068491
middlesex county college library|-74.366391 40.5063496
north hall|-74.3677187 40.507422
johnson learning center|-74.3672955 40.506347
facilities management|-74.3617727 40.50795
raritan hall|-74.3648645 40.5072765
parish center|-74.3620151 40.5454098
parish office rectory|-74.3628245 40.5457227
pseg edison training center|-74.3430318 40.5315383
shoprite|-74.2870116 40.516876
tennis courts   tamarack gc|-74.4468958 40.4241789
outback steakhouse|-74.3005549 40.4360877
ruby tuesday|-74.3017168 40.4368437
wendys|-74.3015498 40.4373175
taco bell|-74.4249523 40.4522335
wendys|-74.4249028 40.4528541
columbia bank|-74.3978477 40.4495554
east brunswick supply|-74.3969199 40.4475409
io datacenter|-74.3473168 40.5209013
the new york times|-74.3489169 40.519043
chilis|-74.4574173 40.4628287
petsmart|-74.4618762 40.4616712
north brunswick plaza|-74.4654011 40.4618941
tgi fridays|-74.4667125 40.4603163
pc warehouse|-74.3767829 40.5149746
bjs wholesale club|-74.3669902 40.5174877
boston market|-74.3747749 40.5147908
chuck e cheeses|-74.3638451 40.5200023
comfort inn|-74.3785851 40.5147017
red roof inn|-74.3934322 40.5424371
red roof inn|-74.3929837 40.5422797
metuchen sportsplex|-74.3707849 40.5410048
metuchen car wash|-74.3703241 40.5443453
piscataway police station|-74.4696712 40.5395479
inetsoft technology|-74.4775122 40.5477503
genscript biotech corporation|-74.485122 40.5490107
foley|-74.4885599 40.5490228
bank of america|-74.4719758 40.5381338
american standard|-74.48618 40.5516317
ericsson|-74.4736658 40.5401784
chanel|-74.4838654 40.5520516
binsky mechanical|-74.4903975 40.5477613
cbre|-74.4890183 40.546759
conackamack middle school|-74.4773287 40.5347387
united states post office|-74.4732577 40.5377217
the home depot|-74.4324792 40.5587488
optimum|-74.492029 40.5468262
ericsson|-74.4747332 40.5403093
equinix|-74.4953806 40.5448819
ericsson|-74.4751597 40.5412251
chanel|-74.4829714 40.550205
ericsson|-74.4760728 40.5409397
stop  shop|-74.4397207 40.5609591
foley|-74.4873097 40.54994
ericsson|-74.4738768 40.5413271
fw webb|-74.4962872 40.5423452
foley|-74.4893092 40.5485027
shell|-74.3251021 40.5486339
siemens employee parking|-74.329473 40.5605676
dunkin|-74.3257336 40.5485154
middlesex county mosquito extermination commission|-74.3439653 40.5559961
siemens corporation|-74.3286424 40.5613275
woodbridge public library|-74.2879643 40.5676953
alba kitchen and bath|-74.3227496 40.5502106
delta hotels by marriott woodbridge|-74.3114211 40.5573581
margaritas mexican restaurant|-74.3273295 40.5477636
staples|-74.3001481 40.5643304
centra metropark|-74.3273698 40.560862
fortunoff backyard store|-74.324411 40.5490749
truck parking|-74.2621205 40.5579752
sunoco|-74.2630916 40.5575775
truck parking|-74.4431485 40.4178797
sams club gas station|-74.374436 40.515877
dharma drum mountain buddhist association nj chapter|-74.3772435 40.5194715
on the border|-74.4217074 40.4803601
sunoco|-74.3865042 40.5108302
jollibee|-74.3841527 40.5109071
barracks trading post|-74.4167692 40.4856102
sears auto center|-74.4211161 40.4813608
dunkin|-74.3971485 40.50448
open road honda|-74.4093113 40.4980039
boylan funeral home|-74.391874 40.5071056
walgreens|-74.3980925 40.503602
cvs pharmacy|-74.3923541 40.5085847
open road honda|-74.4112485 40.4963565
maserati of central new jersey|-74.3790467 40.5109505
bp|-74.3997414 40.5040488
audi|-74.3827059 40.511259
bmw of edison|-74.3872044 40.5107788
skylark diner|-74.391032 40.5077449
amc new brunswick|-74.4154083 40.4890809
edison collision repair|-74.3773012 40.513715
sunoco|-74.4012796 40.5025615
wendys|-74.3864136 40.5099448
mobil  lube express|-74.3845877 40.5107738
sunoco|-74.3864448 40.5106425
fuddruckers|-74.4161063 40.4846698
rite aid|-74.3992901 40.5033273
prime storage|-74.3795611 40.512448
nissan parts|-74.4012774 40.5036324
tiger mart|-74.3975233 40.5044322
sams club|-74.3766561 40.5172787
volvo|-74.3778409 40.5135409
exxon|-74.3977317 40.5043373
the emporio|-74.4682391 40.460185
ludus weightlifting|-74.4800185 40.4588721
lakeview school|-74.3429975 40.5525442
nj transit daily permit parking|-74.2781373 40.5566873
woodbridge station|-74.2779955 40.5559417
bergen south post office|-74.0790319 40.7115093
baseball field|-74.3659124 40.5027163
lot|-74.3692839 40.5029365
lot|-74.3708159 40.5060551
lot|-74.3666757 40.5042812
lot a|-74.3702878 40.5029405
lot b|-74.3693198 40.5035359
lot|-74.3679254 40.5014619
lot|-74.3656375 40.5049447
lot|-74.3629642 40.5050517
lot|-74.3637315 40.5057913
lot|-74.3641086 40.5075307
lot a|-74.3626918 40.5084101
lot|-74.3652459 40.5077008
softball field|-74.3647738 40.503266
lot|-74.3704699 40.5079494
lot|-74.369268 40.5066797
lot|-74.3685124 40.5061323
lot|-74.3697873 40.5055463
lot|-74.3681021 40.504821
lot b|-74.3613817 40.5088481
tennis courts|-74.3634864 40.5034464
target|-74.4264951 40.5482452
lot|-74.0400721 40.3263935
lot|-74.0401067 40.3254291
canal street basketball court|-74.0115312 40.7255976
the queen elizabeth ii september th garden|-74.0093413 40.7047727
noah osteria|-74.2164229 40.667137
lot  elizabeth station|-74.2168322 40.6660755
enterprise rent a car|-74.3544434 40.5164541
hudson street|-74.0079037 40.7284832
broadway|-74.0129513 40.7052947
harding land trust|-74.4868618 40.7642796
west marine|-74.284476 40.511885
ayers allen house|-74.3641135 40.5446241
ups customer center|-74.3317427 40.5113671
the home depot|-74.3009314 40.4509496
walmart|-74.300894 40.4479272
roselle catholic high school|-74.2650398 40.6485051
skyline tower|-74.4459185 40.4946281
td bank|-74.4450989 40.4939076
new brunswick city hall|-74.4456506 40.493898
marist brothers|-74.2663801 40.6481929
mcmanus middle school|-74.2757652 40.6375109
west end elementary school|-74.4488075 40.6121818
finn square|-74.0068627 40.7187047
penn plaza east|-74.1619928 40.7344605
penn plaza east|-74.1611277 40.7337674
livingston apartments c|-74.4359819 40.5247846
livingston apartments b|-74.437269 40.5255117
lot|-74.4360824 40.5255181
chelsea waterside park|-74.0091306 40.7502386
gary kehler stadium|-74.3428428 40.6400903
american veterans memorial pier|-74.0377578 40.6393766
ramp c|-74.0736957 40.6434209
ramp a|-74.0734977 40.6431763
ramp b|-74.0736037 40.6432991
ramp d|-74.0737886 40.6435497
fort hamilton athletic field|-74.0374232 40.6266736
monastery square|-74.036223 40.6216424
russell pederson playground|-74.0361892 40.6263837
watchung hills regional high school|-74.4753745 40.6521829
woodland elementary school|-74.4772197 40.6531063
downtown manhattan heliport|-74.0091447 40.7015185
citi bike   w  st   ave s|-74.0029322 40.7339784
wendys|-74.1005049 40.7095381
bucks head park|-74.3558129 40.3204602
ocean breeze track  field athletic complex|-74.0751714 40.5831271
snyder avenue park|-74.4301132 40.6829884
ihop|-74.3332243 40.5483306
veterans memorial park|-74.4048273 40.7022563
lincoln field|-74.4037353 40.7098458
pier  skatepark|-74.0094225 40.7487341
trotoisry|-74.2811761 40.7666506
picnic pavillion|-74.2808169 40.7681785
zoo cafe|-74.2810501 40.7678464
essex farm|-74.2792531 40.7670977
richard j cody arena|-74.2820112 40.768905
essex county animal hospital|-74.2813578 40.7662268
mcloones boathouse|-74.2850246 40.7678625
krausch field|-74.4412769 40.6241019
new providence community pool|-74.4087306 40.7031235
jaycees park|-74.4112191 40.702162
exxon|-74.1847371 40.6917693
eleven|-74.1846101 40.6920401
liberty state park interpretive center|-74.0542917 40.6983253
liberty state park office|-74.0572167 40.6931102
weehawken waterfront park and recreation center|-74.0184833 40.76499
central railroad of new jersey terminal|-74.0352133 40.707228
port imperial ferry terminal|-74.0106799 40.7766584
hertz|-74.1865028 40.6899777
nationwide car rental|-74.187801 40.6908887
nationwide|-74.1874574 40.690091
avis car rental|-74.1870315 40.6901443
airtrain p|-74.1873763 40.6896485
avis|-74.1870711 40.6898642
hertz rental car|-74.1858795 40.6902004
budget|-74.1905273 40.6892787
budget|-74.1905177 40.6877134
airtrain p|-74.1907661 40.6873531
airtrain p|-74.1821922 40.6967586
united airlines|-74.1753237 40.7065204
port authority administrative offices|-74.1700616 40.7044114
united airlines|-74.1735782 40.7066985
united airlines|-74.1684269 40.706283
signature flight support hangar|-74.1700379 40.7070723
united airlines|-74.1661666 40.7072021
medical building|-74.1637505 40.7068896
cargo building|-74.1644269 40.7048167
port authority automotive garage|-74.1545264 40.7036221
multi tenant air cargo facility|-74.1843761 40.675004
port authority maintenance garage|-74.1551129 40.7028998
fedex cargo|-74.1845418 40.6763438
employee parking lot|-74.1789996 40.6729295
port authority police|-74.154055 40.7044098
p economy long term parking|-74.1590501 40.7058817
fedex cargo|-74.1833779 40.6794815
fedex cargo|-74.1864288 40.6786346
perth amboy harborside marina|-74.2623578 40.5049919
atheletes glen|-74.4643658 40.5156647
ikea|-74.0129064 40.6720808
la quinta inn|-74.0497804 40.7898921
walmart supercenter|-74.0424924 40.7930031
summit free public library|-74.3602891 40.715178
central presbyterian church|-74.3594044 40.714891
central presbyterian church school|-74.3590001 40.7144503
summit fire station|-74.3609833 40.7161534
west garage|-74.3543455 40.713233
east garage|-74.3533299 40.7136165
floor  decor|-74.1722804 40.6720803
bm machine co|-74.1431535 40.799377
skateboard park|-74.3069113 40.6126848
robert t shields field|-74.4378443 40.7764072
kingdom hall of jehovahs witnesses|-74.320499 40.693386
carrar professional building|-74.4778066 40.6227161
homestead farm at oak ridge|-74.3459122 40.6054289
visual arts center|-74.3585426 40.71207
bayne park|-74.4959389 40.7467855
lentspace|-74.0058415 40.7227662
spring street park|-74.0044684 40.7250317
minetta triangle|-74.0018714 40.729862
father fagan park|-74.0033154 40.7267282
prudential center|-74.1710463 40.7336259
new york foundling staten island community services|-74.0774484 40.6214237
stapleton library|-74.0778201 40.6260983
stapleton union african methodist episcopal church|-74.0786837 40.6233783
bayley seton hospital|-74.0753559 40.6227381
chez vous catering|-74.0745722 40.6251614
usps priority mail processing center|-74.1379421 40.7506204
washington middle school|-74.1537667 40.7476547
davis memorial united methodist church|-74.1558582 40.7462857
hampton inn|-74.1648545 40.7464311
shoprite|-74.1603451 40.756851
mt bank|-74.1594048 40.7609035
burger king|-74.1594054 40.7626567
kearny commons|-74.1600702 40.761264
berkeley heights community pool|-74.4274947 40.6789257
humanscale|-74.4802935 40.5598765
hunter walton|-74.4883532 40.560149
mariners harbor library|-74.1666089 40.6346797
immaculate conception roman catholic church|-74.0832669 40.6242509
immaculate conception school|-74.0829266 40.6241405
best service appliance repair staten island|-74.1501425 40.5841444
regal ua staten island  rpx|-74.1728381 40.6260939
public storage|-74.1720423 40.62357
bank of america|-74.1626106 40.626292
the village health pavilion|-74.1781388 40.6142702
hilton garden inn|-74.17643 40.6149025
national grid|-74.1796255 40.6248148
new york engine company|-74.1804782 40.5978694
the park|-74.1737113 40.6157291
staten island village hall|-74.0773518 40.6267711
trinity lutheran church|-74.0811308 40.6302383
korean catholic apostolate church|-74.0807959 40.6298554
luso american cultural center|-74.0010296 40.6800289
comfort inn|-74.1900679 40.5862297
public school|-74.1900623 40.5915182
saint pauls memorial church|-74.0789019 40.632178
public school  historical|-74.0782439 40.6337258
mary mcdowell friends middle school|-74.0013867 40.6818832
sacred hearts of jesus and mary and saint stephens church|-74.0018679 40.6821796
new york police department th precinct|-74.0002369 40.6838602
arden heights blvd jewish center congregation etz chaim|-74.1965313 40.5589603
caleb t ward house|-74.0812754 40.632466
craft house|-74.0775178 40.6364054
dunkin|-74.0006008 40.6760988
folksbier|-74.0011971 40.6781253
holy angels cottage|-74.0894692 40.6280807
our lady of good counsel school|-74.0862296 40.6312128
our lady of good counsel roman catholic church|-74.087128 40.631672
public school|-74.0689732 40.6133243
saint george station staten island post office|-74.075337 40.6410518
administration building|-74.0742802 40.6413668
ferry maintenance building|-74.0735879 40.6416623
saint george library center|-74.0766797 40.6417755
public school|-74.0795919 40.639687
the barracks|-74.0741926 40.6416791
warehouse|-74.0742083 40.6410425
st george garage|-74.0770142 40.6399898
national lighthouse museum|-74.0734109 40.6407293
laboratory|-74.0743635 40.641683
public school|-74.0795287 40.6388305
lamp shop|-74.0737524 40.640736
fdny engine  ems station|-74.2132002 40.5538358
ocean palace restaurant  bar|-74.212121 40.5561492
woodrow substation|-74.215258 40.5547655
almer g russell pavilion|-74.2542506 40.502281
battery duane|-74.0556918 40.6040144
battery weed|-74.0541771 40.6055165
fort wadsworth visitors center and museum|-74.0581624 40.6040961
mont sec house|-74.0590195 40.6061602
us coast guard|-74.0630181 40.6039486
us coast guard sector|-74.0620837 40.6042571
da noi|-74.0667237 40.6069398
killmeyers old bavaria inn|-74.2371139 40.5385167
target|-74.2326178 40.5287218
kreischer house|-74.238216 40.5325225
united states postal service south shore annex|-74.235492 40.5271303
saint george ferry terminal|-74.0727943 40.6441873
staten island borough hall|-74.0760453 40.6424081
staten island museum and institue of arts and sciences|-74.0776847 40.6443837
saint peters high school for girls|-74.0834659 40.6475185
staten island family courthouse|-74.0778017 40.6450426
precinct police station|-74.0774523 40.6446396
galerie st george|-74.0847354 40.6461452
saint peters roman catholic church|-74.0848371 40.6471538
staten island supreme courthouse|-74.0765742 40.6430048
visitor center|-74.251684 40.5022717
saint georges theatre|-74.0774884 40.6422911
hugot building|-74.0765715 40.643559
ward house|-74.2533318 40.5048973
the conference house|-74.2532214 40.5031317
biddle house|-74.2542055 40.5055276
ruton beckett house|-74.2545659 40.5051803
saint pauls methodist church|-74.2473829 40.5084968
saint stanislaus kostka roman catholic church|-74.0873111 40.6438054
jersey street depot|-74.0841647 40.636376
arrochar playground|-74.0708654 40.5977563
public school|-74.070283 40.5979442
madison park volunteer first aid squad|-74.3074355 40.4563506
personalized dentistry|-74.3050091 40.457699
family  cosmetic dentistry|-74.3040197 40.4573167
gulf|-74.3062582 40.4581486
black tie cleaners|-74.3064185 40.4578894
alice austen house|-74.0630253 40.6151196
saint johns episcopal church|-74.0635979 40.6114932
us coast guard station|-74.0618025 40.6119624
adobe blues|-74.0952965 40.6432351
carl grillo glass house|-74.1036109 40.6431327
carl grillo glass house|-74.1036323 40.6433089
tuscan villa|-74.1019277 40.6418833
veterans memorial hall playhouse|-74.1014956 40.6431516
sarah holzka center|-74.0985552 40.6378349
goodhue center|-74.0978791 40.6378577
verizon|-74.1012208 40.6313295
key food|-74.1042796 40.6304944
public school|-74.1074341 40.6283635
bard|-74.413026 40.6965217
ballantine brewery site|-74.1432711 40.7294302
grove pointe|-74.0418924 40.7197916
gardiner tyler house|-74.1122163 40.6236129
ymca broadway branch|-74.1136446 40.6253541
animal hospital and nursery|-74.1148887 40.6246931
clydesdale horse barn|-74.1161768 40.6253007
otters|-74.1159508 40.6251965
pavillion|-74.1153735 40.6257636
zoo cafe|-74.1153495 40.6249535
childrens center|-74.115945 40.6246871
william e passannante ballfield|-74.0022571 40.7285571
greenstreets|-74.0031727 40.7285267
winston churchill square|-74.0024576 40.7298579
leroy street dog run|-74.0109358 40.7303707
tribeca dog park|-74.0123389 40.7215465
fornino|-74.0016676 40.6929195
zion church|-74.2179912 40.5394979
south baptist church|-74.2477314 40.5104046
tottenville station staten island post office|-74.2476178 40.5094998
johns deli|-74.2439874 40.5100755
drumgoole cottage|-74.2225624 40.5096741
duval cottage|-74.2221601 40.5096302
page bagels  deli|-74.2335915 40.5172313
santander|-74.233359 40.5163245
mcdonalds|-74.234756 40.5177353
st joacim and ann church|-74.2209225 40.511651
fdny engine   ladder|-74.2389569 40.5127601
faith assembly of god church|-74.2426151 40.5107653
new york marine terminals port authority administration building|-74.0014564 40.6888263
roman nose|-74.0433022 40.719912
savoy siegel  desai optometrists|-74.0434633 40.7199745
grove medical associates|-74.0435835 40.720026
two boots pizza|-74.0436357 40.7201532
fenny pharmacy|-74.0437801 40.7200671
sawadee thai cuisine|-74.0438612 40.7201356
rainbow shops|-74.0442306 40.7202779
south house|-74.0443221 40.7203547
ch martin|-74.0443791 40.7204777
sleep cheap mattress and furniture|-74.0444553 40.7205741
fabco shoes|-74.0445329 40.7206088
sensory kids|-74.0442747 40.7208911
nail tek|-74.0440985 40.720842
downtown hardware|-74.0440116 40.7208182
jersey city taekwando and kickboxing academy|-74.0439359 40.7207068
fussy friends|-74.0438444 40.7206736
skinners loft|-74.0437686 40.7206241
grace omalleys|-74.0435981 40.7205333
oliva|-74.0435154 40.7204998
hr block|-74.043338 40.7204758
orale mexican kitchen|-74.0431024 40.7205159
little sandwich shop|-74.0430219 40.7202823
j nails|-74.0430115 40.7205768
elco laundromat|-74.0430415 40.7207136
la conguita restaurant|-74.0429511 40.7208531
the bistro at grove square|-74.0425992 40.7200457
barcade|-74.0449884 40.7207921
dunkin|-74.0431387 40.7197572
mcdonalds|-74.0431068 40.7198339
the staaten|-74.1122841 40.6297563
west new brighton library|-74.1148172 40.6345082
sacred heart school|-74.1138415 40.6338208
stonehenge|-74.1055969 40.6179493
wwii veterans memorial ice skating rink|-74.1077681 40.6157213
flynn hall|-74.0896158 40.6221337
loretto memorial library|-74.0896303 40.6209566
lavelle hall|-74.0901328 40.6216963
mahoney hall|-74.0898938 40.6222323
spellman hall|-74.0903117 40.6209299
rosati hall|-74.0923864 40.6213034
notre dame house|-74.0913889 40.62095
campus center|-74.0918587 40.6208965
kelleher center|-74.0909832 40.6206738
dasilva academic center|-74.091604 40.6214139
new york ladder company|-74.1219935 40.6344172
fdny engine|-74.1167588 40.6309784
port richmond library|-74.1311044 40.6375851
saint marys of the assumption church|-74.1372811 40.6398223
saint marys school|-74.1370869 40.6395439
saint philips baptist church|-74.1313823 40.6376968
island tech ii auto repair inc|-74.1455869 40.6347176
new york engine company|-74.1599544 40.6352636
premier ford of bay ridge parts  service|-74.0225283 40.6445212
brooklyn wholesale meat market|-74.0225463 40.6476618
brooklyn army terminal building a|-74.0261256 40.6445973
bush terminal company|-74.0165571 40.6550612
fdny bureau of fire investigation|-74.023582 40.6470156
nypd harbor unit|-74.0287649 40.6440895
la casa de rabinowitz|-74.3987705 40.3811153
woodland elementary school|-74.3916179 40.379872
congregation etz chaim   monroe township jewish center|-74.3863159 40.368986
mill lake elementary school   main building|-74.3809705 40.3682906
mill lake elementary school   side building and daycare|-74.3807377 40.3695389
monroe township recreation center   main building|-74.3792436 40.369561
monroe township recreation center   hockey rink|-74.3791751 40.3686781
anshe emeth memorial temple|-74.4516207 40.4855251
st johns lutheran church|-74.1308456 40.6316615
costco|-74.1684003 40.5726427
burger king|-74.1681451 40.5854157
voorlezers house|-74.1474899 40.571402
macys furniture gallery|-74.1659002 40.5852494
jacques marchais museum of tibetan art|-74.1381149 40.5763148
staten island range lighthouse|-74.1412475 40.5760723
carusoapps|-74.1595065 40.5610924
public school|-74.244011 40.5088194
tottenville library|-74.2441052 40.5095304
our lady help of christians school|-74.2430753 40.5094765
church of our lady help of christians|-74.2433346 40.509826
seguine mansion|-74.1975778 40.5152128
republic claims associates|-74.2161086 40.5237559
maskers barn|-74.3904944 40.6782621
building|-74.3899464 40.6787979
building|-74.3897563 40.6788726
building|-74.3895609 40.6789504
building|-74.388013 40.679571
building|-74.3877972 40.6796623
building|-74.3876865 40.6791055
building|-74.3874781 40.6791927
building  church store|-74.3867571 40.6810899
building|-74.3870247 40.6814868
sandy ground historical museum|-74.2165008 40.5409781
watchung stables|-74.3626304 40.6913593
trailside nature and science center|-74.372673 40.6839755
sky top picnic area|-74.3935763 40.6712036
intermediate school|-74.1861743 40.5232207
public school|-74.1876448 40.5297915
eleven|-74.1317037 40.6259391
immanuel church|-74.1311928 40.6201831
